idx,symbol,date_group,price_1,qty_ratio_1,price_2,qty_ratio_2,price_3,qty_ratio_3,qty_total,price_item_count,future_buy_price,future_sell_price
14669,3205,20180717_20180718_20180719,62.81,0.2328,63.86,0.2328,65.04,0.074,743,36,63.8,60.1
14670,3205,20180718_20180719_20180720,62.53,0.3548,63.24,0.153,64.03,0.1113,575,25,62.2,59.9
14671,3205,20180719_20180720_20180723,60.39,0.2549,62.49,0.2036,63.34,0.2194,506,33,61.2,60.1
14672,3205,20180720_20180723_20180724,60.55,0.3326,62.31,0.1375,63.21,0.0953,451,31,61.5,60.6
14673,3205,20180724_20180725_20180726,60.49,0.316,61.17,0.2925,62.34,0.0731,424,31,61.5,60.2
14674,3205,20180725_20180726_20180727,60.58,0.2732,61.32,0.2732,62.39,0.0847,366,30,61.2,60.1
14675,3205,20180726_20180727_20180730,60.56,0.2754,61.32,0.2928,62.39,0.0899,345,29,60.9,60.8
14676,3205,20180730_20180731_20180801,60.42,0.3671,61.08,0.1783,62.17,0.021,286,19,62.0,60.6
14677,3206,20180705_20180706_20180709,21.3,0.0966,22.01,0.2343,22.24,0.2592,683,21,22.2,21.95
14678,3206,20180706_20180709_20180710,21.34,0.072,22.02,0.3186,22.22,0.3583,681,20,22.3,22.0
14679,3206,20180716_20180717_20180718,22.24,0.1571,22.51,0.2259,22.84,0.2046,611,19,22.85,21.2
14680,3206,20180717_20180718_20180719,22.24,0.0453,22.53,0.4391,22.81,0.2157,927,18,21.5,21.2
14681,3206,20180718_20180719_20180720,21.39,0.2817,22.54,0.3023,22.81,0.1723,1161,21,21.55,21.25
14682,3211,20180629_20180702_20180703,38.39,0.2137,38.68,0.0952,40.79,0.3453,2499,24,38.6,37.45
14683,3211,20180702_20180703_20180704,38.38,0.2799,38.67,0.1159,40.85,0.3771,2140,22,38.3,37.0
14684,3211,20180703_20180704_20180705,37.8,0.0887,38.37,0.448,38.67,0.2053,1578,30,37.8,36.85
14685,3211,20180704_20180705_20180706,37.24,0.1473,37.89,0.2409,38.37,0.1747,876,32,37.25,37.0
14686,3211,20180705_20180706_20180709,37.11,0.3625,37.55,0.1352,37.97,0.2238,858,29,37.2,37.05
14687,3211,20180706_20180709_20180710,37.05,0.6171,37.22,0.2508,37.51,0.0511,666,18,37.7,37.5
14688,3211,20180709_20180710_20180711,37.05,0.5778,37.23,0.1852,37.57,0.1204,540,18,37.95,37.7
14689,3211,20180710_20180711_20180712,37.08,0.4481,37.56,0.2384,37.79,0.0905,453,20,38.15,37.85
14690,3211,20180711_20180712_20180713,37.21,0.0486,37.6,0.2919,37.87,0.2892,370,21,38.25,37.9
14691,3211,20180727_20180730_20180731,38.17,0.0781,38.37,0.1785,38.96,0.5328,717,19,39.6,38.8
14692,3211,20180730_20180731_20180801,38.27,0.097,38.97,0.4429,39.35,0.2198,928,27,39.45,39.0
14693,3213,20180626_20180627_20180628,46.6,0.2145,47.1,0.3186,47.34,0.2082,317,19,47.7,47.6
14694,3213,20180627_20180628_20180629,46.83,0.0621,47.11,0.3954,47.44,0.1863,306,21,48.15,47.5
14695,3213,20180628_20180629_20180702,47.19,0.2382,47.56,0.2308,47.9,0.1514,403,19,48.0,47.1
14696,3213,20180702_20180703_20180704,47.3,0.0386,47.54,0.4993,47.89,0.2229,673,20,43.55,42.0
14697,3213,20180703_20180704_20180705,42.75,0.1159,43.5,0.1756,47.57,0.3939,820,33,42.9,41.4
14698,3213,20180704_20180705_20180706,42.48,0.1252,43.41,0.2261,47.47,0.3257,743,38,42.2,41.3
14699,3213,20180705_20180706_20180709,41.65,0.1011,42.52,0.1733,43.41,0.3014,554,34,41.5,41.5
14700,3213,20180706_20180709_20180710,41.46,0.3367,42.15,0.2211,42.51,0.0918,294,25,41.9,41.55
14701,3213,20180711_20180712_20180713,41.69,0.1639,42.05,0.2131,42.65,0.2213,122,19,44.0,43.65
14702,3213,20180712_20180713_20180716,41.87,0.0783,42.65,0.2108,43.62,0.2289,166,24,44.5,43.5
14703,3213,20180713_20180716_20180717,42.65,0.1525,43.58,0.2542,44.12,0.2147,177,19,44.5,42.15
14704,3213,20180717_20180718_20180719,43.02,0.0621,43.71,0.2138,44.23,0.2138,145,24,43.7,43.25
14705,3213,20180718_20180719_20180720,42.91,0.1121,43.43,0.2759,44.09,0.1897,116,26,43.5,43.0
14706,3213,20180719_20180720_20180723,42.44,0.0568,43.02,0.1818,43.36,0.3182,88,18,43.3,42.7
14707,3213,20180725_20180726_20180727,42.93,0.4592,43.16,0.4592,43.53,0.0714,98,18,43.5,42.3
14708,3213,20180730_20180731_20180801,42.51,0.2424,42.93,0.4394,43.29,0.0909,132,18,42.95,42.6
14709,3217,20180621_20180622_20180625,41.1,0.168,41.74,0.2469,42.2,0.152,875,33,40.75,40.2
14710,3217,20180622_20180625_20180626,40.19,0.3099,41.1,0.2489,41.76,0.1765,952,44,41.3,39.9
14711,3217,20180625_20180626_20180627,40.06,0.2362,40.4,0.3862,41.05,0.2375,800,34,40.2,39.95
14712,3217,20180626_20180627_20180628,40.0,0.4012,40.27,0.2683,40.55,0.1593,835,22,40.8,39.75
14713,3217,20180627_20180628_20180629,40.0,0.3192,40.25,0.1481,40.53,0.3689,824,22,40.8,39.8
14714,3217,20180628_20180629_20180702,39.97,0.2947,40.18,0.1729,40.46,0.3414,1157,20,40.35,37.0
14715,3217,20180629_20180702_20180703,39.92,0.3721,40.16,0.1129,40.45,0.2702,1462,21,38.1,37.9
14716,3217,20180702_20180703_20180704,37.51,0.2722,39.93,0.4385,40.34,0.1792,1708,42,38.3,37.0
14717,3217,20180703_20180704_20180705,37.45,0.3299,38.01,0.1293,39.92,0.4101,1346,35,38.35,37.0
14718,3217,20180704_20180705_20180706,37.11,0.1463,37.51,0.4604,38.01,0.2165,984,28,37.5,36.6
14719,3217,20180705_20180706_20180709,37.08,0.2666,37.38,0.2413,38.04,0.2413,634,25,37.2,36.7
14720,3217,20180706_20180709_20180710,36.91,0.2124,37.34,0.2261,37.94,0.0713,659,27,37.7,37.25
14721,3217,20180709_20180710_20180711,36.77,0.1626,37.11,0.1041,37.48,0.3452,701,23,37.6,37.5
14722,3217,20180710_20180711_20180712,36.8,0.1881,37.34,0.3119,37.53,0.3696,606,22,38.4,38.5
14723,3217,20180711_20180712_20180713,37.34,0.3704,37.59,0.4278,38.18,0.0783,575,29,39.2,38.5
14724,3217,20180712_20180713_20180716,37.39,0.3629,37.94,0.1023,38.77,0.2008,518,37,39.1,37.9
14725,3217,20180713_20180716_20180717,37.87,0.1235,38.58,0.3309,38.89,0.2247,405,31,39.0,38.45
14726,3217,20180716_20180717_20180718,38.14,0.0639,38.6,0.3657,38.92,0.1765,391,25,39.4,37.95
14727,3217,20180717_20180718_20180719,38.12,0.0735,38.56,0.3971,38.98,0.1088,340,26,38.45,36.5
14728,3217,20180718_20180719_20180720,38.05,0.3151,38.42,0.2009,38.96,0.0845,438,26,37.55,36.5
14729,3217,20180719_20180720_20180723,36.8,0.2325,37.76,0.2073,38.58,0.105,714,46,37.6,36.75
14730,3217,20180720_20180723_20180724,36.76,0.2636,37.4,0.1111,38.14,0.1589,774,33,37.15,36.85
14731,3217,20180723_20180724_20180725,36.67,0.2613,36.98,0.315,37.47,0.0894,727,23,37.2,36.75
14732,3217,20180724_20180725_20180726,36.68,0.0573,36.97,0.4684,37.56,0.0771,506,19,37.3,36.3
14733,3217,20180726_20180727_20180730,36.52,0.1944,36.86,0.3685,37.08,0.1611,540,21,36.75,35.95
14734,3217,20180727_20180730_20180731,36.42,0.2939,36.62,0.288,36.92,0.2012,507,20,36.8,36.5
14735,3217,20180730_20180731_20180801,36.15,0.2166,36.4,0.2395,36.65,0.1592,785,20,37.3,37.0
14736,3218,20180622_20180625_20180626,29.63,0.2622,29.93,0.1486,30.32,0.2497,801,22,30.35,29.5
14737,3218,20180625_20180626_20180627,29.63,0.2719,29.89,0.3202,30.16,0.1042,662,21,30.0,29.7
14738,3218,20180629_20180702_20180703,28.87,0.0947,29.45,0.122,29.82,0.224,549,25,28.95,28.0
14739,3218,20180702_20180703_20180704,28.63,0.3779,29.23,0.0668,29.82,0.1555,823,37,28.7,27.2
14740,3218,20180703_20180704_20180705,28.1,0.1477,28.66,0.4168,29.56,0.0728,907,40,28.1,27.3
14741,3218,20180704_20180705_20180706,27.44,0.3067,28.06,0.1171,28.61,0.3001,1213,35,28.15,27.85
14742,3218,20180705_20180706_20180709,27.46,0.344,28.02,0.242,28.5,0.1003,1157,30,28.3,28.1
14743,3218,20180706_20180709_20180710,27.35,0.2597,27.59,0.3023,28.05,0.2636,1032,23,28.5,28.35
14744,3218,20180709_20180710_20180711,27.54,0.0556,28.04,0.3514,28.33,0.2258,629,25,29.05,28.9
14745,3218,20180710_20180711_20180712,28.09,0.154,28.39,0.2233,28.85,0.4133,721,24,29.3,27.95
14746,3218,20180711_20180712_20180713,28.35,0.1522,28.82,0.2969,29.04,0.4239,1071,24,28.3,28.0
14747,3218,20180712_20180713_20180716,28.16,0.181,28.8,0.2871,29.04,0.4586,1160,28,28.35,27.7
14748,3218,20180713_20180716_20180717,28.06,0.1692,28.22,0.2718,29.04,0.369,916,18,28.35,27.7
14749,3221,20180621_20180622_20180625,23.63,0.3583,24.12,0.1583,24.61,0.1094,4069,33,26.1,26.8
14750,3221,20180622_20180625_20180626,23.89,0.1044,25.27,0.1545,25.98,0.4339,15991,56,28.7,27.9
14751,3221,20180625_20180626_20180627,24.26,0.0394,25.84,0.203,28.02,0.3162,46813,93,30.3,29.3
14752,3221,20180626_20180627_20180628,25.62,0.0944,27.83,0.2695,29.11,0.2692,68913,113,31.6,30.6
14753,3221,20180627_20180628_20180629,27.82,0.1947,29.05,0.1864,30.68,0.1809,80760,92,33.05,28.65
14754,3221,20180628_20180629_20180702,29.13,0.2075,30.72,0.3057,32.03,0.1596,68804,104,32.0,28.2
14755,3221,20180629_20180702_20180703,29.79,0.1193,30.88,0.3646,32.05,0.1601,57675,89,29.75,27.4
14756,3221,20180702_20180703_20180704,29.3,0.1704,30.95,0.2319,32.11,0.2626,38874,98,29.75,26.5
14757,3221,20180703_20180704_20180705,28.67,0.2718,29.86,0.2518,31.28,0.1074,23539,92,30.45,29.15
14758,3221,20180704_20180705_20180706,27.58,0.1346,28.97,0.2963,30.35,0.1832,18901,71,31.15,27.85
14759,3221,20180705_20180706_20180709,27.7,0.1332,29.38,0.3256,30.4,0.2113,25412,94,29.15,28.0
14760,3221,20180706_20180709_20180710,27.94,0.1186,29.42,0.3176,30.41,0.2123,25284,94,29.5,27.65
14761,3221,20180709_20180710_20180711,28.43,0.1868,29.6,0.2951,30.64,0.103,20500,67,28.45,28.6
14762,3221,20180710_20180711_20180712,28.1,0.3848,28.61,0.2536,29.06,0.0867,9736,36,30.6,28.2
14763,3221,20180711_20180712_20180713,28.36,0.1376,29.41,0.2136,30.07,0.193,14024,60,30.15,28.6
14764,3221,20180712_20180713_20180716,28.43,0.1096,29.43,0.2879,30.03,0.2401,16375,60,30.2,29.05
14765,3221,20180713_20180716_20180717,28.75,0.1899,29.49,0.3279,30.04,0.223,17968,49,31.6,30.05
14766,3221,20180716_20180717_20180718,29.31,0.1188,30.59,0.2787,31.31,0.2381,37117,69,31.0,29.2
14767,3221,20180717_20180718_20180719,29.37,0.0469,30.44,0.3434,31.21,0.1843,44911,61,30.8,29.1
14768,3221,20180718_20180719_20180720,29.55,0.0786,30.45,0.2579,31.21,0.103,47587,52,30.0,29.75
14769,3221,20180719_20180720_20180723,29.46,0.1584,30.23,0.3457,30.71,0.124,22805,39,30.7,30.05
14770,3221,20180720_20180723_20180724,29.42,0.2178,29.92,0.2004,30.43,0.195,16119,35,31.55,29.55
14771,3221,20180723_20180724_20180725,29.59,0.0606,30.35,0.2392,31.12,0.2396,22262,50,30.35,29.35
14772,3221,20180724_20180725_20180726,29.9,0.2255,30.46,0.2397,31.15,0.2104,22337,41,30.15,27.0
14773,3221,20180725_20180726_20180727,29.8,0.1949,30.52,0.1446,31.15,0.2603,18053,45,30.0,26.25
14774,3221,20180726_20180727_20180730,27.28,0.1526,28.27,0.1663,29.77,0.436,10727,64,27.85,26.5
14775,3221,20180727_20180730_20180731,27.09,0.2104,28.18,0.216,29.66,0.2347,9565,75,27.3,24.7
14776,3221,20180730_20180731_20180801,26.94,0.3519,28.0,0.1929,29.09,0.0482,9269,70,26.5,24.5
14777,3224,20180621_20180622_20180625,58.66,0.0358,59.48,0.1146,60.09,0.7726,2880,24,62.7,60.2
14778,3224,20180622_20180625_20180626,59.06,0.0518,60.09,0.6007,61.58,0.1362,3744,45,62.4,58.5
14779,3224,20180625_20180626_20180627,58.94,0.0378,60.13,0.5557,61.57,0.1629,4157,45,61.2,58.7
14780,3224,20180626_20180627_20180628,59.38,0.0456,60.84,0.2326,61.83,0.2512,2038,40,60.0,59.3
14781,3224,20180627_20180628_20180629,59.23,0.2536,60.53,0.2088,61.75,0.1175,1183,39,60.3,57.0
14782,3224,20180628_20180629_20180702,58.95,0.2685,59.54,0.2528,60.28,0.1378,704,25,60.0,56.5
14783,3224,20180629_20180702_20180703,57.44,0.0407,59.02,0.4065,59.67,0.2114,615,31,58.6,54.0
14784,3224,20180702_20180703_20180704,57.0,0.2926,57.94,0.3097,59.36,0.1794,875,39,57.7,50.2
14785,3224,20180703_20180704_20180705,54.51,0.2456,56.92,0.2866,58.37,0.1205,1535,52,54.5,52.2
14786,3224,20180704_20180705_20180706,51.77,0.2061,54.38,0.2265,57.23,0.217,2203,78,55.6,53.5
14787,3224,20180705_20180706_20180709,51.71,0.2369,54.03,0.2492,56.65,0.1236,1950,69,56.2,55.1
14788,3224,20180706_20180709_20180710,51.48,0.1875,53.15,0.2307,55.58,0.0901,1387,57,56.4,55.5
14789,3224,20180709_20180710_20180711,53.18,0.2141,55.12,0.1631,55.98,0.2908,509,36,56.5,56.5
14790,3224,20180710_20180711_20180712,54.19,0.0189,55.52,0.3011,56.1,0.3811,475,25,58.5,57.0
14791,3224,20180711_20180712_20180713,55.64,0.2866,56.27,0.2144,57.56,0.1505,485,29,58.3,57.0
14792,3224,20180712_20180713_20180716,55.92,0.0813,57.21,0.2504,57.93,0.1443,603,27,58.1,56.2
14793,3224,20180713_20180716_20180717,57.07,0.369,57.46,0.3137,58.05,0.148,561,18,58.3,56.0
14794,3224,20180716_20180717_20180718,56.39,0.0612,57.24,0.3939,58.02,0.1147,523,19,56.5,54.8
14795,3224,20180717_20180718_20180719,56.3,0.2235,57.23,0.3436,58.08,0.0503,358,20,57.4,55.8
