model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,72,relu,0.01,mean_squared_error at,216,288,193.7,3.794,0.914,0.01800
LSTM,1,36,relu,1e-05,logcosh at,144,36,559.6,11.804,10.497,0.04930
LSTM,1,72,relu,0.0001,mean_squared_error at,216,288,243.2,3.026,1.303,0.02134
LSTM,2,72,tanh,0.0001,mean_squared_error at,288,36,1024.2,3.270,0.933,0.01823
LSTM,1,16,tanh,0.0001,mean_absolute_error at,1000,36,2315.4,4.584,0.861,0.01751
LSTM,1,72,sigmoid,0.0001,logcosh at,288,72,276.8,3.885,0.892,0.01927
LSTM,1,72,tanh,0.001,logcosh at,288,144,179.7,1.752,1.031,0.02194
LSTM,1,288,sigmoid,0.001,mean_squared_error at,288,288,333.3,3.690,0.897,0.02074
LSTM,1,288,tanh,1e-05,mean_squared_error at,216,72,564.6,4.237,0.997,0.01986
LSTM,1,144,relu,0.001,logcosh at,288,72,425.0,1.563,1.005,0.02453
LSTM,1,144,tanh,1e-05,mean_absolute_error at,216,288,108.4,21.778,20.995,0.05195
LSTM,1,288,tanh,0.0001,mean_squared_error at,216,72,531.7,1.760,1.048,0.01968
LSTM,1,288,tanh,0.001,logcosh at,216,36,824.1,2.471,0.967,0.02177
LSTM,1,288,relu,0.01,mean_absolute_error at,144,36,617.1,1.884,1.290,0.02286
LSTM,1,72,tanh,0.001,mean_absolute_error at,216,72,185.3,3.621,0.895,0.01670
LSTM,1,36,tanh,0.001,logcosh at,144,144,87.6,2.126,1.299,0.03016
LSTM,1,72,sigmoid,1e-05,logcosh at,144,288,68.8,30.003,30.133,0.05520
LSTM,1,36,relu,0.0001,mean_absolute_error at,216,288,90.2,5.485,1.229,0.01932
LSTM,1,288,relu,0.0001,mean_absolute_error at,216,36,888.2,2.197,0.933,0.01665
LSTM,1,72,tanh,0.0001,logcosh at,288,36,577.3,3.367,0.958,0.01947
LSTM,1,36,sigmoid,0.001,mean_absolute_error at,216,36,397.2,2.602,0.897,0.01789
LSTM,1,288,tanh,0.001,logcosh at,288,144,468.1,3.503,0.931,0.02025
LSTM,1,144,sigmoid,0.01,mean_squared_error at,144,144,160.6,3.732,1.441,0.03982
LSTM,1,144,sigmoid,1e-05,logcosh at,288,72,398.6,13.386,12.477,0.04903
LSTM,1,36,sigmoid,0.01,logcosh at,288,288,122.0,3.581,0.906,0.01900
LSTM,1,36,sigmoid,1e-05,mean_squared_error at,216,36,407.3,10.364,8.964,0.04765
LSTM,1,36,sigmoid,1e-05,mean_squared_error at,216,36,419.2,17.638,15.769,0.05543
LSTM,1,36,tanh,1e-05,mean_squared_error at,216,72,231.7,10.074,8.271,0.04874
LSTM,1,36,sigmoid,1e-05,mean_absolute_error at,216,36,436.8,14.571,13.512,0.05315
LSTM,1,288,sigmoid,0.001,mean_squared_error at,216,72,513.0,3.674,0.909,0.02002
LSTM,1,36,relu,0.01,mean_absolute_error at,216,72,249.9,3.965,1.363,0.02729
LSTM,1,288,tanh,0.001,mean_absolute_error at,216,36,854.6,3.391,0.891,0.01689
LSTM,1,36,sigmoid,1e-05,mean_squared_error at,216,72,225.7,19.010,17.011,0.04863
LSTM,1,288,tanh,1e-05,mean_absolute_error at,144,36,616.3,4.078,0.942,0.01848
LSTM,1,144,sigmoid,0.01,mean_squared_error at,216,72,314.3,4.067,2.064,0.04212
